-0.0413, -0.043719, -0.046137, -0.048556, -0.050975, -0.053394, -0.055812, -0.058231, -0.06065, -0.063069 
0.74772, 0.74777, 0.74781, 0.74786, 0.74791, 0.74795, 0.748, 0.74805, 0.74809, 0.74814 
-0.15256, -0.13783, -0.1231, -0.10837, -0.09364, -0.07891, -0.06418, -0.04945, -0.03472, -0.01999 
0.04404, 0.029766, 0.015491, 0.0012164, -0.013058, -0.027333, -0.041608, -0.055882, -0.070157, -0.084432 
0.15629, 0.14794, 0.13959, 0.13123, 0.12288, 0.11453, 0.10618, 0.097825, 0.089473, 0.08112 
-0.047773, -0.039876, -0.031979, -0.024081, -0.016184, -0.0082871, -0.00038997, 0.0075072, 0.015404, 0.023301 
-1.011, -1.1367, -1.2623, -1.388, -1.5136, -1.6393, -1.765, -1.8906, -2.0163, -2.1419 
0.1492, 0.15778, 0.16637, 0.17495, 0.18354, 0.19212, 0.2007, 0.20929, 0.21787, 0.22646 
0.2787, 0.27972, 0.28074, 0.28176, 0.28279, 0.28381, 0.28483, 0.28585, 0.28687, 0.2879 
-0.6653, -0.6421, -0.6189, -0.59571, -0.57251, -0.54931, -0.52611, -0.50291, -0.47971, -0.45652 
-0.6266, -0.5925, -0.55841, -0.52431, -0.49022, -0.45613, -0.42203, -0.38793, -0.35384, -0.31974 
0.6984, 0.63499, 0.57158, 0.50817, 0.44476, 0.38135, 0.31794, 0.25453, 0.19112, 0.12771 
-0.2922, -0.34355, -0.3949, -0.44626, -0.49761, -0.54896, -0.60031, -0.65166, -0.70301, -0.75436 
